date,year,month,NDVI,GPP,EVI,LAI
2003-01-01,2003.0,1.0,0.1997504319852941,,0.0724027068014706,0.3338642387356433
2003-02-01,2003.0,2.0,0.2065085248161766,,0.081643359375,0.348144694218121
2003-03-01,2003.0,3.0,0.2080281112132352,,0.0864617233455882,0.3765076404567912
2003-04-01,2003.0,4.0,0.2979764062499999,,0.1323458455882352,0.5077375304036734
2003-05-01,2003.0,5.0,0.6369867876838231,,0.3825906341911765,1.6207723896469362
2003-06-01,2003.0,6.0,0.7155434696691176,,0.4093563051470587,2.490095219397269
2003-07-01,2003.0,7.0,0.6979973437499999,,0.3644853124999999,2.0423153692614773
2003-08-01,2003.0,8.0,0.6630590670955883,,0.3258563419117646,1.9398939825267496
2003-09-01,2003.0,9.0,0.5834468152573529,,0.2310563143382355,1.198975818854094
2003-10-01,2003.0,10.0,0.4133480606617647,,0.1585884742647059,0.5517489610942047
2003-11-01,2003.0,11.0,0.2450153125,,0.0834995358455882,0.3752486829619446
2003-12-01,2003.0,12.0,0.2250651838235295,,0.0721915257352941,0.3597403553548637
2004-01-01,2004.0,1.0,0.2086365487132354,,0.0709835294117647,0.3171942999247406
2004-02-01,2004.0,2.0,0.2117106939338236,,0.0793919071691176,0.3357547200680605
2004-03-01,2004.0,3.0,0.215278088235294,,0.0925556709558823,0.3675386931055915
2004-04-01,2004.0,4.0,0.3630494852941178,,0.1762629963235294,0.7415226923202771
2004-05-01,2004.0,5.0,0.6240365487132356,,0.3785360477941175,1.8319895727670343
2004-06-01,2004.0,6.0,0.6906618060661764,,0.4029240441176466,2.237307352508097
2004-07-01,2004.0,7.0,0.7449150045955885,,0.427698717830883,2.8262540492784924
2004-08-01,2004.0,8.0,0.7345774034926478,,0.3787332950367648,2.1366316547233404
2004-09-01,2004.0,9.0,0.5975660845588235,,0.2802554595588237,1.463602303589543
2004-10-01,2004.0,10.0,0.310702711397059,,0.1208631617647059,0.5082302607898952
2004-11-01,2004.0,11.0,0.2672912775735295,,0.0926489246323529,0.3628786143559872
2004-12-01,2004.0,12.0,0.2081429457720588,,0.0745962178308823,0.3146215765190928
2005-01-01,2005.0,1.0,0.2122477941176472,,0.0743358961397059,0.3251096168319098
2005-02-01,2005.0,2.0,0.1928549724264707,,0.0816686121323529,0.307926769411996
2005-03-01,2005.0,3.0,0.2231004963235292,,0.0862980101102941,0.3741312457053103
2005-04-01,2005.0,4.0,0.3292253538602942,,0.1619528860294118,0.5003544822922461
2005-05-01,2005.0,5.0,0.6243143152573527,,0.3864549954044122,1.6500327214423602
2005-06-01,2005.0,6.0,0.6868764935661767,,0.3956846369485295,2.467812735185367
2005-07-01,2005.0,7.0,0.705426741727941,,0.4295413694852937,2.3482919407087444
2005-08-01,2005.0,8.0,0.7277041038602937,,0.4029856709558827,2.495205490658028
2005-09-01,2005.0,9.0,0.5608047656249998,,0.2475925045955882,1.2172728313864083
2005-10-01,2005.0,10.0,0.3292427665441177,,0.1297685845588235,0.5255216343269746
2005-11-01,2005.0,11.0,0.2584763970588237,,0.0931750045955881,0.3467949347207222
2005-12-01,2005.0,12.0,0.2173565900735296,,0.0778747748161764,0.3379609633192629
2006-01-01,2006.0,1.0,0.2099112591911764,,0.0769044761029411,0.3108038022316023
2006-02-01,2006.0,2.0,0.2160093795955882,,0.0824539062499999,0.3096691862177284
2006-03-01,2006.0,3.0,0.2097395082720588,,0.0874321645220588,0.3704443571872646
2006-04-01,2006.0,4.0,0.2083159420955883,,0.0976108180147059,0.397037618751568
2006-05-01,2006.0,5.0,0.4573969806985293,,0.2269974080882352,0.7558366872811749
2006-06-01,2006.0,6.0,0.6910315900735291,,0.4231264797794117,2.020503255783515
2006-07-01,2006.0,7.0,0.7195623575367645,,0.4477104136029408,2.5871944635319526
2006-08-01,2006.0,8.0,0.7335626378676469,,0.4101381571691174,2.5211617748110338
2006-09-01,2006.0,9.0,0.5340566268382354,,0.2629136810661762,1.5479900854029642
2006-10-01,2006.0,10.0,0.322303492647059,,0.1204744025735294,0.5506604277783228
2006-11-01,2006.0,11.0,0.2693725091911764,,0.098856640625,0.3469798108700629
2006-12-01,2006.0,12.0,0.2230573207720587,,0.0790432904411764,0.3193858185268807
2007-01-01,2007.0,1.0,0.2212116957720588,,0.0811479779411765,0.3025154608815157
2007-02-01,2007.0,2.0,0.1994718979779412,,0.0752236994485294,0.2897892739111939
2007-03-01,2007.0,3.0,0.2126495863970589,,0.0918280606617647,0.3614950427014821
2007-04-01,2007.0,4.0,0.2819276194852941,,0.1277861580882353,0.4715279822867924
2007-05-01,2007.0,5.0,0.5232028124999999,,0.305693088235294,1.1877523641242094
2007-06-01,2007.0,6.0,0.644715955882353,,0.3728246139705882,2.0501407022021527
2007-07-01,2007.0,7.0,0.7454473253676469,,0.4087591222426471,2.443256928765419
2007-08-01,2007.0,8.0,0.6885481985294118,,0.3837975137867645,2.4673120971172415
2007-09-01,2007.0,9.0,0.646156613051471,,0.317559278492647,1.6403913484506407
2007-10-01,2007.0,10.0,0.4430491360294122,,0.1993481158088234,0.6924337118113498
2007-11-01,2007.0,11.0,0.291160174632353,,0.1024280974264705,0.3479483655639539
2007-12-01,2007.0,12.0,0.2331540670955881,,0.0813201148897058,0.3207339419521611
2008-01-01,2008.0,1.0,0.2113142325367646,,0.0774055974264706,0.3100741140669479
2008-02-01,2008.0,2.0,0.2196306617647059,,0.0852569761029412,0.3097779850135795
2008-03-01,2008.0,3.0,0.2133782536764705,,0.085917734375,0.3648489905435029
2008-04-01,2008.0,4.0,0.3683217830882352,,0.1892164154411765,0.710079022283302
2008-05-01,2008.0,5.0,0.6230948805147055,,0.3924619255514703,1.9261586117382716
2008-06-01,2008.0,6.0,0.7168213924632355,,0.4307040808823531,2.42220967900265
2008-07-01,2008.0,7.0,0.752456796875,,0.4508562408088232,2.926144432446583
2008-08-01,2008.0,8.0,0.7384890992647063,,0.4022211994485296,2.2090965609764077
2008-09-01,2008.0,9.0,0.6247815165441177,,0.3109101424632353,1.5406449396289374
2008-10-01,2008.0,10.0,0.3541998943014707,,0.1389739016544119,0.6481111547397005
2008-11-01,2008.0,11.0,0.2708788878676471,,0.092946875,0.3505109998582067
